run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate
1,normal_load,baseline,1,1,43200,7200,300,100,7200,100,0.1
2,normal_load,cockpit_only,1,1,43200,7200,300,100,7200,100,0.1
3,normal_load,nursta_only,1,1,43200,7200,300,100,7200,100,0.1
4,normal_load,both,1,1,43200,7200,300,100,7200,100,0.1
5,high_load_high_acuity,baseline,1,1,43200,7200,300,100,7200,100,0.1
6,high_load_high_acuity,cockpit_only,1,1,43200,7200,300,100,7200,100,0.1
7,high_load_high_acuity,nursta_only,1,1,43200,7200,300,100,7200,100,0.1
8,high_load_high_acuity,both,1,1,43200,7200,300,100,7200,100,0.1
9,normal_load,baseline,1,2,43200,7200,300,100,7200,100,0.1
10,normal_load,cockpit_only,1,2,43200,7200,300,100,7200,100,0.1
11,normal_load,nursta_only,1,2,43200,7200,300,100,7200,100,0.1
12,normal_load,both,1,2,43200,7200,300,100,7200,100,0.1
13,high_load_high_acuity,baseline,1,2,43200,7200,300,100,7200,100,0.1
14,high_load_high_acuity,cockpit_only,1,2,43200,7200,300,100,7200,100,0.1
15,high_load_high_acuity,nursta_only,1,2,43200,7200,300,100,7200,100,0.1
16,high_load_high_acuity,both,1,2,43200,7200,300,100,7200,100,0.1
17,normal_load,baseline,1,3,43200,7200,300,100,7200,100,0.1
18,normal_load,cockpit_only,1,3,43200,7200,300,100,7200,100,0.1
19,normal_load,nursta_only,1,3,43200,7200,300,100,7200,100,0.1
20,normal_load,both,1,3,43200,7200,300,100,7200,100,0.1
21,high_load_high_acuity,baseline,1,3,43200,7200,300,100,7200,100,0.1
22,high_load_high_acuity,cockpit_only,1,3,43200,7200,300,100,7200,100,0.1
23,high_load_high_acuity,nursta_only,1,3,43200,7200,300,100,7200,100,0.1
24,high_load_high_acuity,both,1,3,43200,7200,300,100,7200,100,0.1
25,normal_load,baseline,1,4,43200,7200,300,100,7200,100,0.1
26,normal_load,cockpit_only,1,4,43200,7200,300,100,7200,100,0.1
27,normal_load,nursta_only,1,4,43200,7200,300,100,7200,100,0.1
28,normal_load,both,1,4,43200,7200,300,100,7200,100,0.1
29,high_load_high_acuity,baseline,1,4,43200,7200,300,100,7200,100,0.1
30,high_load_high_acuity,cockpit_only,1,4,43200,7200,300,100,7200,100,0.1
31,high_load_high_acuity,nursta_only,1,4,43200,7200,300,100,7200,100,0.1
32,high_load_high_acuity,both,1,4,43200,7200,300,100,7200,100,0.1
33,normal_load,baseline,1,5,43200,7200,300,100,7200,100,0.1
34,normal_load,cockpit_only,1,5,43200,7200,300,100,7200,100,0.1
35,normal_load,nursta_only,1,5,43200,7200,300,100,7200,100,0.1
36,normal_load,both,1,5,43200,7200,300,100,7200,100,0.1
37,high_load_high_acuity,baseline,1,5,43200,7200,300,100,7200,100,0.1
38,high_load_high_acuity,cockpit_only,1,5,43200,7200,300,100,7200,100,0.1
39,high_load_high_acuity,nursta_only,1,5,43200,7200,300,100,7200,100,0.1
40,high_load_high_acuity,both,1,5,43200,7200,300,100,7200,100,0.1
41,normal_load,baseline,2,1,43200,7200,300,100,7200,100,0.1
42,normal_load,cockpit_only,2,1,43200,7200,300,100,7200,100,0.1
43,normal_load,nursta_only,2,1,43200,7200,300,100,7200,100,0.1
44,normal_load,both,2,1,43200,7200,300,100,7200,100,0.1
45,high_load_high_acuity,baseline,2,1,43200,7200,300,100,7200,100,0.1
46,high_load_high_acuity,cockpit_only,2,1,43200,7200,300,100,7200,100,0.1
