run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate
1,normal_load,baseline,1,1,43200,7200,300,100,7200,100,0.10
2,normal_load,both,1,1,43200,7200,300,100,7200,100,0.10
3,normal_load,baseline,1,2,43200,7200,300,100,7200,100,0.10
4,normal_load,both,1,2,43200,7200,300,100,7200,100,0.10
5,normal_load,baseline,1,3,43200,7200,300,100,7200,100,0.10
6,normal_load,both,1,3,43200,7200,300,100,7200,100,0.10
7,normal_load,baseline,1,4,43200,7200,300,100,7200,100,0.10
8,normal_load,both,1,4,43200,7200,300,100,7200,100,0.10
9,normal_load,baseline,1,5,43200,7200,300,100,7200,100,0.10
10,normal_load,both,1,5,43200,7200,300,100,7200,100,0.10
11,high_load_high_acuity,baseline,1,1,43200,7200,300,100,7200,100,0.10
12,high_load_high_acuity,both,1,1,43200,7200,300,100,7200,100,0.10
13,high_load_high_acuity,baseline,1,2,43200,7200,300,100,7200,100,0.10
14,high_load_high_acuity,both,1,2,43200,7200,300,100,7200,100,0.10
15,high_load_high_acuity,baseline,1,3,43200,7200,300,100,7200,100,0.10
16,high_load_high_acuity,both,1,3,43200,7200,300,100,7200,100,0.10
17,high_load_high_acuity,baseline,1,4,43200,7200,300,100,7200,100,0.10
18,high_load_high_acuity,both,1,4,43200,7200,300,100,7200,100,0.10
19,high_load_high_acuity,baseline,1,5,43200,7200,300,100,7200,100,0.10
20,high_load_high_acuity,both,1,5,43200,7200,300,100,7200,100,0.10
