run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
1,normal_load,baseline,1,1,43200,7200,300,100,7200,100,0.1,True,7200
2,normal_load,cockpit_only,1,1,43200,7200,300,100,7200,100,0.1,True,7200
3,normal_load,nursta_only,1,1,43200,7200,300,100,7200,100,0.1,True,7200
4,normal_load,both,1,1,43200,7200,300,100,7200,100,0.1,True,7200
5,high_load_high_acuity,baseline,1,1,43200,7200,300,100,7200,100,0.1,True,7200
6,high_load_high_acuity,cockpit_only,1,1,43200,7200,300,100,7200,100,0.1,True,7200
7,high_load_high_acuity,nursta_only,1,1,43200,7200,300,100,7200,100,0.1,True,7200
8,high_load_high_acuity,both,1,1,43200,7200,300,100,7200,100,0.1,True,7200
9,normal_load,baseline,1,2,43200,7200,300,100,7200,100,0.1,True,7200
10,normal_load,cockpit_only,1,2,43200,7200,300,100,7200,100,0.1,True,7200
11,normal_load,nursta_only,1,2,43200,7200,300,100,7200,100,0.1,True,7200
12,normal_load,both,1,2,43200,7200,300,100,7200,100,0.1,True,7200
13,high_load_high_acuity,baseline,1,2,43200,7200,300,100,7200,100,0.1,True,7200
14,high_load_high_acuity,cockpit_only,1,2,43200,7200,300,100,7200,100,0.1,True,7200
15,high_load_high_acuity,nursta_only,1,2,43200,7200,300,100,7200,100,0.1,True,7200
16,high_load_high_acuity,both,1,2,43200,7200,300,100,7200,100,0.1,True,7200
17,normal_load,baseline,1,3,43200,7200,300,100,7200,100,0.1,True,7200
18,normal_load,cockpit_only,1,3,43200,7200,300,100,7200,100,0.1,True,7200
19,normal_load,nursta_only,1,3,43200,7200,300,100,7200,100,0.1,True,7200
20,normal_load,both,1,3,43200,7200,300,100,7200,100,0.1,True,7200
21,high_load_high_acuity,baseline,1,3,43200,7200,300,100,7200,100,0.1,True,7200
22,high_load_high_acuity,cockpit_only,1,3,43200,7200,300,100,7200,100,0.1,True,7200
23,high_load_high_acuity,nursta_only,1,3,43200,7200,300,100,7200,100,0.1,True,7200
24,high_load_high_acuity,both,1,3,43200,7200,300,100,7200,100,0.1,True,7200
25,normal_load,baseline,1,4,43200,7200,300,100,7200,100,0.1,True,7200
26,normal_load,cockpit_only,1,4,43200,7200,300,100,7200,100,0.1,True,7200
27,normal_load,nursta_only,1,4,43200,7200,300,100,7200,100,0.1,True,7200
28,normal_load,both,1,4,43200,7200,300,100,7200,100,0.1,True,7200
29,high_load_high_acuity,baseline,1,4,43200,7200,300,100,7200,100,0.1,True,7200
30,high_load_high_acuity,cockpit_only,1,4,43200,7200,300,100,7200,100,0.1,True,7200
31,high_load_high_acuity,nursta_only,1,4,43200,7200,300,100,7200,100,0.1,True,7200
32,high_load_high_acuity,both,1,4,43200,7200,300,100,7200,100,0.1,True,7200
33,normal_load,baseline,1,5,43200,7200,300,100,7200,100,0.1,True,7200
34,normal_load,cockpit_only,1,5,43200,7200,300,100,7200,100,0.1,True,7200
35,normal_load,nursta_only,1,5,43200,7200,300,100,7200,100,0.1,True,7200
36,normal_load,both,1,5,43200,7200,300,100,7200,100,0.1,True,7200
37,high_load_high_acuity,baseline,1,5,43200,7200,300,100,7200,100,0.1,True,7200
38,high_load_high_acuity,cockpit_only,1,5,43200,7200,300,100,7200,100,0.1,True,7200
39,high_load_high_acuity,nursta_only,1,5,43200,7200,300,100,7200,100,0.1,True,7200
40,high_load_high_acuity,both,1,5,43200,7200,300,100,7200,100,0.1,True,7200
41,normal_load,baseline,2,1,43200,7200,300,100,7200,100,0.1,True,7200
42,normal_load,cockpit_only,2,1,43200,7200,300,100,7200,100,0.1,True,7200
43,normal_load,nursta_only,2,1,43200,7200,300,100,7200,100,0.1,True,7200
44,normal_load,both,2,1,43200,7200,300,100,7200,100,0.1,True,7200
45,high_load_high_acuity,baseline,2,1,43200,7200,300,100,7200,100,0.1,True,7200
46,high_load_high_acuity,cockpit_only,2,1,43200,7200,300,100,7200,100,0.1,True,7200
47,high_load_high_acuity,nursta_only,2,1,43200,7200,300,100,7200,100,0.1,True,7200
48,high_load_high_acuity,both,2,1,43200,7200,300,100,7200,100,0.1,True,7200
49,normal_load,baseline,2,2,43200,7200,300,100,7200,100,0.1,True,7200
