bandwidth_m,split,training_dates,comparison_direction,training_events,held_out_events,observed_half_distance,abm_pooled_distance,abm_matched_median_distance,abm_matched_low,abm_matched_high,global_random_median_distance,global_random_low,global_random_high,zone_random_median_distance,zone_random_low,zone_random_high
0.5,1,2023-12-11;2023-12-12;2023-12-13,average_of_both_held_out_directions,71,288,0.5550935817023809,0.5354250636132895,0.5708520236355312,0.551092986681304,0.5945858054028653,0.6851450509101009,0.6597921292195699,0.7103435303152423,0.6896946604000113,0.6659675557770444,0.7131107143201038
0.5,2,2023-12-11;2023-12-12;2023-12-14,average_of_both_held_out_directions,117,242,0.5538296783523813,0.5311574024095438,0.558588549432004,0.5412004127392945,0.5805230441173196,0.6629380106031362,0.6371856047846917,0.6877782069104212,0.6690488270398673,0.6500062237293432,0.6943006357531999
0.5,3,2023-12-11;2023-12-12;2023-12-15,average_of_both_held_out_directions,165,194,0.5219987759658704,0.5234606022260411,0.5501536155188994,0.5296253176438496,0.5660257083919676,0.6533227099330263,0.6279503896296356,0.6749601203925067,0.6656980478381449,0.6407879292023266,0.6884616517866645
0.5,4,2023-12-11;2023-12-12;2023-12-16,average_of_both_held_out_directions,159,200,0.5137971491015563,0.5201446680945974,0.5448527392506084,0.5263932503050192,0.5603358287857699,0.654530431933552,0.6340622918616855,0.6797772534563122,0.6647415197609468,0.6412564287833242,0.6858570149312189
0.5,5,2023-12-11;2023-12-13;2023-12-14,average_of_both_held_out_directions,111,248,0.5593586880701745,0.5435826513729012,0.5716859091205618,0.5525726714001175,0.5906032171779236,0.6665162446576557,0.6457575864386002,0.6899079297493443,0.6748415351046652,0.6517813691782435,0.6994002909527587
0.5,6,2023-12-11;2023-12-13;2023-12-15,average_of_both_held_out_directions,159,200,0.5232689546882514,0.5229206269669331,0.5487465115121684,0.5286307878160273,0.5683489345416723,0.6535347141768724,0.630191797497903,0.676176592111094,0.6659689929944703,0.6442879484943548,0.6916761331848785
0.5,7,2023-12-11;2023-12-13;2023-12-16,average_of_both_held_out_directions,153,206,0.507933381893564,0.5217872781340003,0.5474405105392219,0.530025877237685,0.5660746501377304,0.6526575533455583,0.6285494522782676,0.6774238629351398,0.6631253624646132,0.6416520601342385,0.6864049037974669
0.5,8,2023-12-11;2023-12-14;2023-12-15,average_of_both_held_out_directions,205,154,0.5498059505744954,0.5280000988611997,0.5532933121603969,0.5371864931096759,0.5718383176481863,0.659141018556046,0.6360291573915935,0.6781692859201873,0.6699921979327909,0.6491667140644574,0.6916107541146372
0.5,9,2023-12-11;2023-12-14;2023-12-16,average_of_both_held_out_directions,199,160,0.5269457613209035,0.527747776122781,0.5550923953215461,0.5342978058475418,0.574948041077146,0.6539847600404473,0.6313189960175427,0.6749551919436505,0.6677577624543688,0.6485144202682623,0.690605417693002
0.5,10,2023-12-11;2023-12-15;2023-12-16,average_of_both_held_out_directions,247,112,0.550947864551089,0.5326316819797884,0.561192595942534,0.5428003154143427,0.5800093488862526,0.6662293620200223,0.6390729811434187,0.6923711657643614,0.6752572765873983,0.6509333467959811,0.6970575027682304
