Factor,Factor level,Scenario,Intervention,Outcome,Default value,Test value,Paired n,Default paired delta,Sensitivity paired delta,95% CI low,95% CI high,Effect retention,Direction consistency,Standardized paired effect,Robustness verdict
Crowding threshold,high,High load,Both,Actionable visibility opportunities,0.5,0.62,20,537.95,592.9,539.6678364816711,646.1321635183289,1.1021470396877031,1.0,4.686187263313738,stable
Crowding threshold,low,High load,Both,Actionable visibility opportunities,0.5,0.4,20,537.95,552.5,488.41487756199,616.58512243801,1.0270471233386005,1.0,3.6273325288092,stable
Crowding threshold,high,High load,Both,Approach attempts,0.5,0.62,20,95.52,102.9,97.28759426758336,108.51240573241664,1.0772613065326635,1.0,7.713982011572883,stable
Crowding threshold,low,High load,Both,Approach attempts,0.5,0.4,20,95.52,97.8,92.53193326182225,103.06806673817776,1.0238693467336684,1.0,7.8108786957865,stable
Crowding threshold,high,High load,Both,Bedside / patient-room interaction share,0.5,0.62,20,-0.0876218172789389,-0.0983981102981673,-0.1170592734597533,-0.0797369471365813,1.1229864131318206,1.0,-2.2185047070599175,stable
Crowding threshold,low,High load,Both,Bedside / patient-room interaction share,0.5,0.4,20,-0.0876218172789389,-0.0906691359220862,-0.1103813965793714,-0.0709568752648011,1.0347780808225695,1.0,-1.9352423093146272,stable
Crowding threshold,high,High load,Both,Corridor interaction share,0.5,0.62,20,0.0748025163647015,0.0654947766674588,0.0469011589731061,0.0840883943618114,0.8755691633171457,0.9,1.4820234482041192,stable
Crowding threshold,low,High load,Both,Corridor interaction share,0.5,0.4,20,0.0748025163647015,0.0675743168199466,0.0490935689901988,0.0860550646496945,0.9033695670141152,1.0,1.5384182708222267,stable
Crowding threshold,high,High load,Both,F2F interactions per hour,0.5,0.62,20,7.669,8.615,7.71734714129746,9.51265285870254,1.1233537618985527,1.0,4.037933571623059,stable
Crowding threshold,low,High load,Both,F2F interactions per hour,0.5,0.4,20,7.669,7.685,6.864792720678101,8.505207279321898,1.0020863215543097,1.0,3.9421446788310055,stable
Crowding threshold,high,High load,Both,Mean ED pressure index,0.5,0.62,20,-0.0122874969367284,-0.0117597827546296,-0.0466387232894697,0.0231191577802104,0.9570527516860348,0.55,-0.1418561996502345,stable
Crowding threshold,low,High load,Both,Mean ED pressure index,0.5,0.4,20,-0.0122874969367284,-0.0227524102237654,-0.0628695915813013,0.0173647711337704,1.851671690412106,0.7,-0.2386213531788987,stable
Crowding threshold,high,High load,Both,Patient-facing interaction share,0.5,0.62,20,-0.1471421374672993,-0.1692082770155581,-0.1907607533420905,-0.1476558006890257,1.1499647886599635,1.0,-3.3032141713224625,stable
Crowding threshold,low,High load,Both,Patient-facing interaction share,0.5,0.4,20,-0.1471421374672993,-0.1537731357991924,-0.1717967732278639,-0.1357494983705209,1.045065257621168,1.0,-3.5896353630359874,stable
Crowding threshold,high,High load,Both,Selected coordination opportunities,0.5,0.62,20,93.75,99.4,94.23503347949917,104.56496652050086,1.0602666666666667,1.0,8.097131272439055,stable
Crowding threshold,low,High load,Both,Selected coordination opportunities,0.5,0.4,20,93.75,93.05,86.44531427896193,99.65468572103806,0.9925333333333332,1.0,5.927567758892635,stable
